,DATE,STATION,NAME,rain,temp,pm10,o3,no2
1,2014/1/1,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.1,84,90,48
2,2014/1/2,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.5,84,119,63
3,2014/1/3,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.2,103,95,57
4,2014/1/4,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.7,101,52,34
5,2014/1/5,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,95,69,52
6,2014/1/6,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.9,78,61,46
7,2014/1/7,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,88,64,55
8,2014/1/8,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.4,79,36,47
9,2014/1/9,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.9,95,38,33
10,2014/1/10,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.2,67,48,33
11,2014/1/11,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,67,49,30
12,2014/1/12,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.5,64,40,24
13,2014/1/13,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27,60,44,23
14,2014/1/14,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.9,54,46,28
15,2014/1/15,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.3,59,49,38
16,2014/1/16,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.8,65,50,43
17,2014/1/17,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.1,72,44,25
18,2014/1/18,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.1,65,69,23
19,2014/1/19,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23,69,68,39
20,2014/1/20,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24,81,27,37
21,2014/1/21,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.8,79,62,18
22,2014/1/22,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,21.5,80,58,45
23,2014/1/23,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,21.9,95,79,47
24,2014/1/24,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,22.9,92,4,72
25,2014/1/25,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.9,107,19.48403626,14.52718676
26,2014/1/26,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.4,38.65825778,54,53
27,2014/1/27,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.8,128,57,42
28,2014/1/28,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.4,94,49,52
29,2014/1/29,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,74,43,48
30,2014/1/30,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.7,81,44,31
31,2014/1/31,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,72,48,31
32,2014/2/1,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,64,49,29
33,2014/2/2,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.3,59,66,37
34,2014/2/3,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.1,59,32,21
35,2014/2/4,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.8,64,32,25
36,2014/2/5,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,55,35,26
37,2014/2/6,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.7,52,23,20
38,2014/2/7,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.4,45,21,17
39,2014/2/8,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.3,40,42,20
40,2014/2/9,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28,37,46,33
41,2014/2/10,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.8,45,21,22
42,2014/2/11,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.9,55,22,20
