"","DATE","STATION","NAME","rain","temp"
"1",2013-08-03,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,22.6
"2",2013-08-04,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,23.3
"3",2013-08-05,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,24
"4",2013-08-06,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.3
"5",2013-08-07,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.5
"6",2013-08-08,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,26
"7",2013-08-09,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,16.8
"8",2013-08-10,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,14.7
"9",2013-08-11,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,17
"10",2013-08-12,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,20.6
"11",2013-08-13,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,20.6
"12",2013-08-14,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,16.8
"13",2013-08-15,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,14.1
"14",2013-08-16,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,15.4
"15",2013-08-17,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,21.7
"16",2013-08-18,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,20.7
"17",2013-08-19,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,21.9
"18",2013-08-20,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,23.8
"19",2013-08-21,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25
"20",2013-08-22,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.7
"21",2013-08-23,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,16.2
"22",2013-08-24,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,11.8
"23",2013-08-25,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,10.7
"24",2013-08-26,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,13.8
"25",2013-08-27,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,15.7
"26",2013-08-28,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,16.7
"27",2013-08-29,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,17.3
"28",2013-08-30,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,20.1
"29",2013-08-31,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,24.7
"30",2013-09-01,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.8
"31",2013-09-02,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,26.4
"32",2013-09-03,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,27.1
"33",2013-09-04,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,24
"34",2013-09-05,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,23.4
"35",2013-09-06,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.3
"36",2013-09-07,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,26.1
"37",2013-09-08,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,26.6
"38",2013-09-09,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,23.8
"39",2013-09-10,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,24.7
"40",2013-09-11,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25.5
"41",2013-09-12,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,25
"42",2013-09-13,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,21.7
"43",2013-09-14,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,19.8
"44",2013-09-15,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,22.9
"45",2013-09-16,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,17.5
"46",2013-09-17,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,14.7
"47",2013-09-18,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,16
"48",2013-09-19,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,19.3
"49",2013-09-20,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,23.9
"50",2013-09-21,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,27.8
"51",2013-09-22,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,26.3
"52",2013-09-23,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,18.5
"53",2013-09-24,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,17.9
"54",2013-09-25,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,19.7
"55",2013-09-26,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,20.6
"56",2013-09-27,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,24.6
"57",2013-09-28,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,27.5
"58",2013-09-29,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,27.1
"59",2013-09-30,"BLM00085244","VIRU VIRU INTERNATIONAL, BL",7.91456310679612,22.4
