,DATE,STATION,NAME,rain,temp,pm10,o3,no2
1,2014/1/1,TH000048327,"CHIANG MAI, TH",6.574133559,19.7,56,43,20
2,2014/1/2,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,49,33,19
3,2014/1/3,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,49,34,15
4,2014/1/4,TH000048327,"CHIANG MAI, TH",6.574133559,22.2,39,37,19
5,2014/1/5,TH000048327,"CHIANG MAI, TH",6.574133559,22.6,46,41,16
6,2014/1/6,TH000048327,"CHIANG MAI, TH",6.574133559,22.4,49,37,18
7,2014/1/7,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,41,45,15
8,2014/1/8,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,39,41,19
9,2014/1/9,TH000048327,"CHIANG MAI, TH",6.574133559,21.9,41,39,18
10,2014/1/10,TH000048327,"CHIANG MAI, TH",6.574133559,22.3,48,39,18
11,2014/1/11,TH000048327,"CHIANG MAI, TH",6.574133559,22.1,53,42,18
12,2014/1/12,TH000048327,"CHIANG MAI, TH",6.574133559,21.4,48,38,21
13,2014/1/13,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,42,41,19
14,2014/1/14,TH000048327,"CHIANG MAI, TH",6.574133559,20.5,43,40,18
15,2014/1/15,TH000048327,"CHIANG MAI, TH",6.574133559,20,45,35,20
16,2014/1/16,TH000048327,"CHIANG MAI, TH",6.574133559,20,41,44,24
17,2014/1/17,TH000048327,"CHIANG MAI, TH",6.574133559,20.1,46,28,13
18,2014/1/18,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,44,31,13
19,2014/1/19,TH000048327,"CHIANG MAI, TH",6.574133559,18.8,35,36,18
20,2014/1/20,TH000048327,"CHIANG MAI, TH",6.574133559,19.7,46,32,11
21,2014/1/21,TH000048327,"CHIANG MAI, TH",6.574133559,19.4,54,10,21
22,2014/1/22,TH000048327,"CHIANG MAI, TH",6.574133559,18,55,38,27
23,2014/1/23,TH000048327,"CHIANG MAI, TH",6.574133559,17.7,53,58,25
24,2014/1/24,TH000048327,"CHIANG MAI, TH",6.574133559,18.3,50,4,18
25,2014/1/25,TH000048327,"CHIANG MAI, TH",6.574133559,19.9,52,23.81346484,10.61236185
26,2014/1/26,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,43.69746525,61,31
27,2014/1/27,TH000048327,"CHIANG MAI, TH",6.574133559,20.9,57,50,25
28,2014/1/28,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,55,48,20
29,2014/1/29,TH000048327,"CHIANG MAI, TH",6.574133559,22.2,47,45,23
30,2014/1/30,TH000048327,"CHIANG MAI, TH",6.574133559,22.4,41,48,22
