,DATE,STATION,NAME,rain,temp,pm10,o3,no2
1,2014/1/1,TH000048459,"CHON BURI, TH",8.320996441,23.7,29.97211155,19.47660691,8.663632423
2,2014/1/2,TH000048459,"CHON BURI, TH",8.320996441,24.1,29.97211155,19.47660691,8.663632423
3,2014/1/3,TH000048459,"CHON BURI, TH",8.320996441,26,29.97211155,8,58
4,2014/1/4,TH000048459,"CHON BURI, TH",8.320996441,26.2,29.97211155,19.47660691,8.663632423
5,2014/1/5,TH000048459,"CHON BURI, TH",8.320996441,26.3,29.97211155,19.47660691,8.663632423
6,2014/1/6,TH000048459,"CHON BURI, TH",8.320996441,27.2,29.97211155,19.47660691,8.663632423
7,2014/1/7,TH000048459,"CHON BURI, TH",8.320996441,27.1,29.97211155,11,36
8,2014/1/8,TH000048459,"CHON BURI, TH",8.320996441,28.2,29.97211155,14,33
9,2014/1/9,TH000048459,"CHON BURI, TH",8.320996441,28.3,29.97211155,11,38
10,2014/1/10,TH000048459,"CHON BURI, TH",8.320996441,26.5,29.97211155,20,9
11,2014/1/11,TH000048459,"CHON BURI, TH",8.320996441,27.3,29.97211155,28,8.663632423
12,2014/1/12,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,28,8
13,2014/1/13,TH000048459,"CHON BURI, TH",8.320996441,26.3,29.97211155,23,10
14,2014/1/14,TH000048459,"CHON BURI, TH",8.320996441,24.3,29.97211155,26,8.663632423
15,2014/1/15,TH000048459,"CHON BURI, TH",8.320996441,22.9,29.97211155,29,12
16,2014/1/16,TH000048459,"CHON BURI, TH",8.320996441,22.4,29.97211155,35,13
17,2014/1/17,TH000048459,"CHON BURI, TH",8.320996441,23.7,29.97211155,29,17
18,2014/1/18,TH000048459,"CHON BURI, TH",8.320996441,23,29.97211155,19.47660691,8.663632423
19,2014/1/19,TH000048459,"CHON BURI, TH",8.320996441,22.3,29.97211155,53,7
20,2014/1/20,TH000048459,"CHON BURI, TH",8.320996441,23.6,29.97211155,19.47660691,8.663632423
21,2014/1/21,TH000048459,"CHON BURI, TH",8.320996441,22.4,29.97211155,19.47660691,8.663632423
22,2014/1/22,TH000048459,"CHON BURI, TH",8.320996441,20.7,29.97211155,19.47660691,8.663632423
23,2014/1/23,TH000048459,"CHON BURI, TH",8.320996441,21.1,29.97211155,19.47660691,8.663632423
24,2014/1/24,TH000048459,"CHON BURI, TH",8.320996441,22.2,28,8,37
25,2014/1/25,TH000048459,"CHON BURI, TH",8.320996441,23.6,29.97211155,19.47660691,8.663632423
26,2014/1/26,TH000048459,"CHON BURI, TH",8.320996441,24.2,29.97211155,24,31
27,2014/1/27,TH000048459,"CHON BURI, TH",8.320996441,25.6,29.97211155,19.47660691,8.663632423
28,2014/1/28,TH000048459,"CHON BURI, TH",8.320996441,26.1,29.97211155,10,30
29,2014/1/29,TH000048459,"CHON BURI, TH",8.320996441,26.7,29.97211155,12,8.663632423
30,2014/1/30,TH000048459,"CHON BURI, TH",8.320996441,26.8,29.97211155,8,32
31,2014/1/31,TH000048459,"CHON BURI, TH",8.320996441,26.7,29.97211155,11,27
32,2014/2/1,TH000048459,"CHON BURI, TH",8.320996441,26.2,29.97211155,19.47660691,8.663632423
33,2014/2/2,TH000048459,"CHON BURI, TH",8.320996441,26.6,29.97211155,28,16
34,2014/2/3,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,19.47660691,8.663632423
35,2014/2/4,TH000048459,"CHON BURI, TH",8.320996441,27.6,29.97211155,12,35
36,2014/2/5,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,37,13
37,2014/2/6,TH000048459,"CHON BURI, TH",8.320996441,27.6,29.97211155,24,23
38,2014/2/7,TH000048459,"CHON BURI, TH",8.320996441,27.4,29.97211155,19,18
39,2014/2/8,TH000048459,"CHON BURI, TH",8.320996441,27.4,10,24,11
40,2014/2/9,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,25,5
41,2014/2/10,TH000048459,"CHON BURI, TH",8.320996441,26.9,8,13,18
42,2014/2/11,TH000048459,"CHON BURI, TH",8.320996441,27.7,29.97211155,19,19
43,2014/2/12,TH000048459,"CHON BURI, TH",8.320996441,27.7,29.97211155,14,15
44,2014/2/13,TH000048459,"CHON BURI, TH",8.320996441,27.9,29.97211155,14,19
45,2014/2/14,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,16,18
46,2014/2/15,TH000048459,"CHON BURI, TH",5.1,28,29.97211155,19.47660691,8.663632423
47,2014/2/16,TH000048459,"CHON BURI, TH",0.5,28,29.97211155,32,7
48,2014/2/17,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,28,13
49,2014/2/18,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,24,18
50,2014/2/19,TH000048459,"CHON BURI, TH",8.320996441,28.2,82,13,24
51,2014/2/20,TH000048459,"CHON BURI, TH",8.320996441,24.6,29.97211155,24,8
52,2014/2/21,TH000048459,"CHON BURI, TH",8.320996441,24.4,10,22,11
53,2014/2/22,TH000048459,"CHON BURI, TH",8.320996441,27.6,10,12,25
54,2014/2/23,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,18,19
55,2014/2/24,TH000048459,"CHON BURI, TH",8.320996441,28,29.97211155,22,17
56,2014/2/25,TH000048459,"CHON BURI, TH",8.320996441,28.2,29.97211155,12,26
57,2014/2/26,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,24,14
58,2014/2/27,TH000048459,"CHON BURI, TH",8.320996441,27.9,8,27,22
59,2014/2/28,TH000048459,"CHON BURI, TH",8.320996441,28.2,9,22,16
60,2014/3/1,TH000048459,"CHON BURI, TH",8.320996441,27.8,9,24,12
61,2014/3/2,TH000048459,"CHON BURI, TH",8.320996441,27.8,10,24,14
62,2014/3/3,TH000048459,"CHON BURI, TH",8.320996441,28.3,10,22,25
63,2014/3/4,TH000048459,"CHON BURI, TH",8.320996441,28.1,12,17,24
64,2014/3/5,TH000048459,"CHON BURI, TH",8.320996441,28.4,11,25,18
65,2014/3/6,TH000048459,"CHON BURI, TH",8.320996441,29.1,13,22,20
66,2014/3/7,TH000048459,"CHON BURI, TH",8.320996441,28.7,14,24,13
67,2014/3/8,TH000048459,"CHON BURI, TH",8.320996441,28.9,17,24,12
68,2014/3/9,TH000048459,"CHON BURI, TH",8.320996441,29.2,29.97211155,28,4
69,2014/3/10,TH000048459,"CHON BURI, TH",8.320996441,28.9,18,26,9
70,2014/3/11,TH000048459,"CHON BURI, TH",8.320996441,28.8,12,18,24
71,2014/3/12,TH000048459,"CHON BURI, TH",8.320996441,29.1,29.97211155,19.47660691,16
72,2014/3/13,TH000048459,"CHON BURI, TH",8.320996441,29.5,15,24,13
73,2014/3/14,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,20,21
74,2014/3/15,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,20,11
75,2014/3/16,TH000048459,"CHON BURI, TH",8.320996441,30.3,29.97211155,19.47660691,8.663632423
76,2014/3/17,TH000048459,"CHON BURI, TH",8.320996441,30.2,29.97211155,12,20
77,2014/3/18,TH000048459,"CHON BURI, TH",8.320996441,30.4,29.97211155,13,12
78,2014/3/19,TH000048459,"CHON BURI, TH",8.320996441,30.1,29.97211155,16,11
79,2014/3/20,TH000048459,"CHON BURI, TH",8.320996441,30.1,8,22,11
80,2014/3/21,TH000048459,"CHON BURI, TH",8.320996441,30.4,10,13,27
81,2014/3/22,TH000048459,"CHON BURI, TH",99.6,27.1,29.97211155,19.47660691,8.663632423
82,2014/3/23,TH000048459,"CHON BURI, TH",9.7,29.4,29.97211155,19.47660691,12
83,2014/3/24,TH000048459,"CHON BURI, TH",0,29.9,10,19.47660691,26
84,2014/3/25,TH000048459,"CHON BURI, TH",8.320996441,29.4,29.97211155,19.47660691,14
85,2014/3/26,TH000048459,"CHON BURI, TH",8.320996441,30.1,9,19.47660691,19
86,2014/3/27,TH000048459,"CHON BURI, TH",8.320996441,30.3,29.97211155,19.47660691,8.663632423
87,2014/3/28,TH000048459,"CHON BURI, TH",8.320996441,30.2,8,26,12
88,2014/3/29,TH000048459,"CHON BURI, TH",8.320996441,30.2,11,28,7
89,2014/3/30,TH000048459,"CHON BURI, TH",8.320996441,30.5,29.97211155,17,1
90,2014/3/31,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,16,8
91,2014/4/1,TH000048459,"CHON BURI, TH",8.320996441,30.2,29.97211155,17,9
92,2014/4/2,TH000048459,"CHON BURI, TH",8.320996441,30.7,6,17,13
93,2014/4/3,TH000048459,"CHON BURI, TH",8.320996441,30.8,7,17,13
94,2014/4/4,TH000048459,"CHON BURI, TH",11.9,29.2,6,13,12
95,2014/4/5,TH000048459,"CHON BURI, TH",5.3,28.1,9,11,20
96,2014/4/6,TH000048459,"CHON BURI, TH",0,29.4,8,16,12
97,2014/4/7,TH000048459,"CHON BURI, TH",8.320996441,30.9,5,21,11
98,2014/4/8,TH000048459,"CHON BURI, TH",8.320996441,31.1,29.97211155,20,12
99,2014/4/9,TH000048459,"CHON BURI, TH",8.320996441,30.7,10,26,19
100,2014/4/10,TH000048459,"CHON BURI, TH",8.320996441,31.1,14,24,17
101,2014/4/11,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,18,20
102,2014/4/12,TH000048459,"CHON BURI, TH",8.320996441,29.8,14,27,12
103,2014/4/13,TH000048459,"CHON BURI, TH",13.5,29.6,13,8,9
104,2014/4/14,TH000048459,"CHON BURI, TH",9.9,29.2,29.97211155,19.47660691,13
105,2014/4/15,TH000048459,"CHON BURI, TH",2.3,30.1,9,19.47660691,5
106,2014/4/16,TH000048459,"CHON BURI, TH",0,30.7,7,19.47660691,13
107,2014/4/17,TH000048459,"CHON BURI, TH",10.4,31.2,7,20,9
108,2014/4/18,TH000048459,"CHON BURI, TH",9.9,31.3,8,16,8
109,2014/4/19,TH000048459,"CHON BURI, TH",0,31.3,7,24,14
110,2014/4/20,TH000048459,"CHON BURI, TH",8.320996441,31.2,7,20,9
111,2014/4/21,TH000048459,"CHON BURI, TH",8.320996441,31.6,6,18,16
112,2014/4/22,TH000048459,"CHON BURI, TH",8.320996441,31.9,6,16,18
113,2014/4/23,TH000048459,"CHON BURI, TH",8.320996441,31.6,8,21,12
114,2014/4/24,TH000048459,"CHON BURI, TH",8.320996441,31.8,13,16,12
115,2014/4/25,TH000048459,"CHON BURI, TH",8.320996441,31.8,29.97211155,19.47660691,16
116,2014/4/26,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,20,8.663632423
117,2014/4/27,TH000048459,"CHON BURI, TH",8.320996441,32,29.97211155,18,4
118,2014/4/28,TH000048459,"CHON BURI, TH",8.320996441,31.3,29.97211155,19,21
119,2014/4/29,TH000048459,"CHON BURI, TH",1.3,30.6,29.97211155,21,12
120,2014/4/30,TH000048459,"CHON BURI, TH",8.320996441,30.8,9,27,13
121,2014/5/1,TH000048459,"CHON BURI, TH",8.320996441,31.9,7,14,7
122,2014/5/2,TH000048459,"CHON BURI, TH",8.320996441,30.3,5,19.47660691,10
123,2014/5/3,TH000048459,"CHON BURI, TH",8.320996441,30.6,29.97211155,19.47660691,8.663632423
124,2014/5/4,TH000048459,"CHON BURI, TH",8.320996441,30.7,29.97211155,19.47660691,8.663632423
125,2014/5/5,TH000048459,"CHON BURI, TH",3.3,30.7,29.97211155,20,8.663632423
126,2014/5/6,TH000048459,"CHON BURI, TH",16.5,28.4,8,13,15
127,2014/5/7,TH000048459,"CHON BURI, TH",8.320996441,28.9,6,27,16
128,2014/5/8,TH000048459,"CHON BURI, TH",8.320996441,31.4,9,19.47660691,8.663632423
129,2014/5/9,TH000048459,"CHON BURI, TH",8.320996441,32.1,29.97211155,19.47660691,8.663632423
130,2014/5/10,TH000048459,"CHON BURI, TH",2.3,30.2,29.97211155,19.47660691,8.663632423
131,2014/5/11,TH000048459,"CHON BURI, TH",8.320996441,31.8,29.97211155,14,8.663632423
132,2014/5/12,TH000048459,"CHON BURI, TH",8.320996441,32.4,4,19.47660691,8.663632423
133,2014/5/13,TH000048459,"CHON BURI, TH",4.6,31.5,29.97211155,11,8.663632423
134,2014/5/14,TH000048459,"CHON BURI, TH",2,32.3,6,19.47660691,10
135,2014/5/15,TH000048459,"CHON BURI, TH",0,33.1,5,19.47660691,29
136,2014/5/16,TH000048459,"CHON BURI, TH",8.320996441,32.3,4,19.47660691,12
137,2014/5/17,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,19.47660691,8.663632423
138,2014/5/18,TH000048459,"CHON BURI, TH",22.6,29.4,29.97211155,19.47660691,8.663632423
139,2014/5/19,TH000048459,"CHON BURI, TH",19.3,30.3,5,16,8
140,2014/5/20,TH000048459,"CHON BURI, TH",0,31.9,4,15,19
141,2014/5/21,TH000048459,"CHON BURI, TH",8.320996441,32,3,18,34
142,2014/5/22,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,16,13
143,2014/5/23,TH000048459,"CHON BURI, TH",8.320996441,31.4,5,19.47660691,35
144,2014/5/24,TH000048459,"CHON BURI, TH",8.320996441,32.5,29.97211155,19.47660691,8.663632423
145,2014/5/25,TH000048459,"CHON BURI, TH",8.320996441,31.6,29.97211155,15,8.663632423
146,2014/5/26,TH000048459,"CHON BURI, TH",8.320996441,32.1,29.97211155,9,15
147,2014/5/27,TH000048459,"CHON BURI, TH",3.3,30.4,29.97211155,18,15
148,2014/5/28,TH000048459,"CHON BURI, TH",0.5,30.8,29.97211155,19.47660691,11
149,2014/5/29,TH000048459,"CHON BURI, TH",2.5,31.3,29.97211155,20,8.663632423
150,2014/5/30,TH000048459,"CHON BURI, TH",1,31.8,4,19.47660691,10
151,2014/5/31,TH000048459,"CHON BURI, TH",0,31.4,29.97211155,19.47660691,8.663632423
152,2014/6/1,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,18,8.663632423
153,2014/6/2,TH000048459,"CHON BURI, TH",8.320996441,32.3,3,16,21
154,2014/6/3,TH000048459,"CHON BURI, TH",8.320996441,31.1,4,12,23
155,2014/6/4,TH000048459,"CHON BURI, TH",31,30.1,12,8,40
156,2014/6/5,TH000048459,"CHON BURI, TH",0.3,29.3,13,17,14
157,2014/6/6,TH000048459,"CHON BURI, TH",8.320996441,30.2,13,19.47660691,23
158,2014/6/7,TH000048459,"CHON BURI, TH",0.5,29.4,29.97211155,19.47660691,8.663632423
159,2014/6/8,TH000048459,"CHON BURI, TH",8.4,30,29.97211155,13,8.663632423
160,2014/6/9,TH000048459,"CHON BURI, TH",1.8,30.7,13,14,10
161,2014/6/10,TH000048459,"CHON BURI, TH",0.5,30.8,29.97211155,10,9
162,2014/6/11,TH000048459,"CHON BURI, TH",1.5,30.7,29.97211155,20,22
163,2014/6/12,TH000048459,"CHON BURI, TH",23.9,29.1,29.97211155,16,17
164,2014/6/13,TH000048459,"CHON BURI, TH",0.3,30.4,29.97211155,19.47660691,23
165,2014/6/14,TH000048459,"CHON BURI, TH",0.3,29.6,29.97211155,19.47660691,8.663632423
166,2014/6/15,TH000048459,"CHON BURI, TH",26.9,29.6,29.97211155,16,8.663632423
167,2014/6/16,TH000048459,"CHON BURI, TH",2.8,29.4,29.97211155,24,7
168,2014/6/17,TH000048459,"CHON BURI, TH",7.6,29.1,29.97211155,12,22
169,2014/6/18,TH000048459,"CHON BURI, TH",1,29.9,16,12,18
170,2014/6/19,TH000048459,"CHON BURI, TH",0,30.7,18,15,18
171,2014/6/20,TH000048459,"CHON BURI, TH",0.8,30.4,19,19.47660691,18
172,2014/6/21,TH000048459,"CHON BURI, TH",8.320996441,30.4,29.97211155,19.47660691,8.663632423
173,2014/6/22,TH000048459,"CHON BURI, TH",4.3,29.1,29.97211155,16,8.663632423
174,2014/6/23,TH000048459,"CHON BURI, TH",1.8,29.9,15,19,6
175,2014/6/24,TH000048459,"CHON BURI, TH",0.5,30.2,14,18,8
176,2014/6/25,TH000048459,"CHON BURI, TH",15,28.3,13,8,8
177,2014/6/26,TH000048459,"CHON BURI, TH",4.6,27.6,13,16,7
178,2014/6/27,TH000048459,"CHON BURI, TH",1,30.2,16,19.47660691,5
179,2014/6/28,TH000048459,"CHON BURI, TH",0,31.3,29.97211155,19,8.663632423
180,2014/6/29,TH000048459,"CHON BURI, TH",8.320996441,30.2,15,19.47660691,2
181,2014/6/30,TH000048459,"CHON BURI, TH",8.320996441,29,29.97211155,12,8.663632423
182,2014/7/1,TH000048459,"CHON BURI, TH",8.320996441,29.8,29.97211155,10,15
183,2014/7/2,TH000048459,"CHON BURI, TH",8.320996441,30.2,15,18,17
184,2014/7/3,TH000048459,"CHON BURI, TH",8.320996441,30.4,14,16,14
185,2014/7/4,TH000048459,"CHON BURI, TH",3.3,31.1,13,16,13
186,2014/7/5,TH000048459,"CHON BURI, TH",0,31.1,29.97211155,19.47660691,8.663632423
187,2014/7/6,TH000048459,"CHON BURI, TH",8.320996441,31.3,29.97211155,19.47660691,8.663632423
188,2014/7/7,TH000048459,"CHON BURI, TH",0.3,31,11,20,7
189,2014/7/8,TH000048459,"CHON BURI, TH",3.6,28.8,12,13,14
190,2014/7/9,TH000048459,"CHON BURI, TH",8.320996441,29.3,29.97211155,20,10
191,2014/7/10,TH000048459,"CHON BURI, TH",8.320996441,29.8,29.97211155,18,10
192,2014/7/11,TH000048459,"CHON BURI, TH",10.2,30.4,29.97211155,19.47660691,8.663632423
193,2014/7/12,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,19.47660691,8.663632423
194,2014/7/13,TH000048459,"CHON BURI, TH",16,29.2,29.97211155,19.47660691,8.663632423
195,2014/7/14,TH000048459,"CHON BURI, TH",26.9,27.7,45,10,11
196,2014/7/15,TH000048459,"CHON BURI, TH",6.1,28.3,50,14,12
197,2014/7/16,TH000048459,"CHON BURI, TH",5.6,28.7,20,11,14
198,2014/7/17,TH000048459,"CHON BURI, TH",0,29.3,29.97211155,23,17
199,2014/7/18,TH000048459,"CHON BURI, TH",10.4,29,29.97211155,19,16
200,2014/7/19,TH000048459,"CHON BURI, TH",10.4,27.5,9,11,11
201,2014/7/20,TH000048459,"CHON BURI, TH",0,29.3,29.97211155,19.47660691,8.663632423
202,2014/7/21,TH000048459,"CHON BURI, TH",0.5,29.1,17,11,13
203,2014/7/22,TH000048459,"CHON BURI, TH",9.4,29.6,23,11,12
204,2014/7/23,TH000048459,"CHON BURI, TH",7.1,29.5,11,17,9
205,2014/7/24,TH000048459,"CHON BURI, TH",0,29.6,12,17,15
206,2014/7/25,TH000048459,"CHON BURI, TH",8.320996441,29.8,15,20,6
207,2014/7/26,TH000048459,"CHON BURI, TH",8.320996441,29.3,29.97211155,19.47660691,8.663632423
208,2014/7/27,TH000048459,"CHON BURI, TH",8.320996441,29.7,29.97211155,19.47660691,8.663632423
209,2014/7/28,TH000048459,"CHON BURI, TH",22.6,27.2,10,19.47660691,16
210,2014/7/29,TH000048459,"CHON BURI, TH",0.5,28.6,13,19.47660691,9
211,2014/7/30,TH000048459,"CHON BURI, TH",1,28.4,16,19.47660691,6
212,2014/7/31,TH000048459,"CHON BURI, TH",0.5,29.7,21,12,11
213,2014/8/1,TH000048459,"CHON BURI, TH",6.9,28.2,15,17,7
