"","DATE","STATION","NAME","rain","temp"
"1",2013-08-03,"COM00080112","JOSE MARIA CORDOVA, CO",14,17.6
"2",2013-08-04,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"3",2013-08-05,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.7
"4",2013-08-06,"COM00080112","JOSE MARIA CORDOVA, CO",0,17
"5",2013-08-07,"COM00080112","JOSE MARIA CORDOVA, CO",3,17
"6",2013-08-08,"COM00080112","JOSE MARIA CORDOVA, CO",1,16.4
"7",2013-08-09,"COM00080112","JOSE MARIA CORDOVA, CO",39.1,15.8
"8",2013-08-10,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.3
"9",2013-08-11,"COM00080112","JOSE MARIA CORDOVA, CO",7.1,16.2
"10",2013-08-12,"COM00080112","JOSE MARIA CORDOVA, CO",10.9,16.4
"11",2013-08-13,"COM00080112","JOSE MARIA CORDOVA, CO",17,16.4
"12",2013-08-14,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.9
"13",2013-08-15,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.7
"14",2013-08-16,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.8
"15",2013-08-17,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.7
"16",2013-08-18,"COM00080112","JOSE MARIA CORDOVA, CO",18,16.2
"17",2013-08-19,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.6
"18",2013-08-20,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,17.6
"19",2013-08-21,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.6
"20",2013-08-22,"COM00080112","JOSE MARIA CORDOVA, CO",9.9,16.9
"21",2013-08-23,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.1
"22",2013-08-24,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,16.7
"23",2013-08-25,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,16.7
"24",2013-08-26,"COM00080112","JOSE MARIA CORDOVA, CO",7.9,16.3
"25",2013-08-27,"COM00080112","JOSE MARIA CORDOVA, CO",10.9,17.1
"26",2013-08-28,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.2
"27",2013-08-29,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.5
"28",2013-08-30,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.3
"29",2013-08-31,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.9
"30",2013-09-01,"COM00080112","JOSE MARIA CORDOVA, CO",19.1,17.2
"31",2013-09-02,"COM00080112","JOSE MARIA CORDOVA, CO",3,16.9
"32",2013-09-03,"COM00080112","JOSE MARIA CORDOVA, CO",17,16.8
"33",2013-09-04,"COM00080112","JOSE MARIA CORDOVA, CO",22.1,14.4
"34",2013-09-05,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.5
"35",2013-09-06,"COM00080112","JOSE MARIA CORDOVA, CO",23.1,16.1
"36",2013-09-07,"COM00080112","JOSE MARIA CORDOVA, CO",14,16
"37",2013-09-08,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.9
"38",2013-09-09,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.1
