,DATE,STATION,NAME,rain,temp
1,2013/8/3,MXM00076680,"MEXICO CITY, MX",0,18.8
2,2013/8/4,MXM00076680,"MEXICO CITY, MX",0,16.4
3,2013/8/5,MXM00076680,"MEXICO CITY, MX",6.6,17.7
4,2013/8/6,MXM00076680,"MEXICO CITY, MX",0.3,18.3
5,2013/8/7,MXM00076680,"MEXICO CITY, MX",0,18.7
6,2013/8/8,MXM00076680,"MEXICO CITY, MX",7.6,19.2
7,2013/8/9,MXM00076680,"MEXICO CITY, MX",1.3,17.6
8,2013/8/10,MXM00076680,"MEXICO CITY, MX",0.3,16.2
9,2013/8/11,MXM00076680,"MEXICO CITY, MX",0,16.6
10,2013/8/12,MXM00076680,"MEXICO CITY, MX",6.6,16
11,2013/8/13,MXM00076680,"MEXICO CITY, MX",5.1,16.3
12,2013/8/14,MXM00076680,"MEXICO CITY, MX",0,16.8
13,2013/8/15,MXM00076680,"MEXICO CITY, MX",0,17.5
14,2013/8/16,MXM00076680,"MEXICO CITY, MX",1.865611258,16.9
15,2013/8/17,MXM00076680,"MEXICO CITY, MX",0,16.6
16,2013/8/18,MXM00076680,"MEXICO CITY, MX",0,17.8
17,2013/8/19,MXM00076680,"MEXICO CITY, MX",0,16.7
18,2013/8/20,MXM00076680,"MEXICO CITY, MX",10.4,15.6
19,2013/8/21,MXM00076680,"MEXICO CITY, MX",7.4,16
20,2013/8/22,MXM00076680,"MEXICO CITY, MX",0.5,15.8
21,2013/8/23,MXM00076680,"MEXICO CITY, MX",2,15.8
22,2013/8/24,MXM00076680,"MEXICO CITY, MX",4.8,17.4
23,2013/8/25,MXM00076680,"MEXICO CITY, MX",0,17.6
24,2013/8/26,MXM00076680,"MEXICO CITY, MX",0.8,16.2
25,2013/8/27,MXM00076680,"MEXICO CITY, MX",14.7,17
26,2013/8/28,MXM00076680,"MEXICO CITY, MX",0,18.2
27,2013/8/29,MXM00076680,"MEXICO CITY, MX",0,16.9
28,2013/8/30,MXM00076680,"MEXICO CITY, MX",3.3,16
29,2013/8/31,MXM00076680,"MEXICO CITY, MX",1,17.4
30,2013/9/1,MXM00076680,"MEXICO CITY, MX",7.6,16.2
31,2013/9/2,MXM00076680,"MEXICO CITY, MX",0,18.7
32,2013/9/3,MXM00076680,"MEXICO CITY, MX",13.2,14.7
33,2013/9/4,MXM00076680,"MEXICO CITY, MX",0,15.3
34,2013/9/5,MXM00076680,"MEXICO CITY, MX",1.5,16.3
35,2013/9/6,MXM00076680,"MEXICO CITY, MX",45.2,16.1
36,2013/9/7,MXM00076680,"MEXICO CITY, MX",0,15.1
37,2013/9/8,MXM00076680,"MEXICO CITY, MX",16.5,15.6
