,DATE,STATION,rain,temp
1,2013/8/3,"PUERTO CASADO, PA",11.57464789,21
2,2013/8/4,"PUERTO CASADO, PA",11.57464789,21.5
3,2013/8/5,"PUERTO CASADO, PA",11.57464789,24.4
4,2013/8/6,"PUERTO CASADO, PA",11.57464789,27.9
5,2013/8/7,"PUERTO CASADO, PA",11.57464789,26.9
6,2013/8/8,"PUERTO CASADO, PA",11.57464789,27.7
7,2013/8/9,"PUERTO CASADO, PA",11.57464789,16.3
8,2013/8/10,"PUERTO CASADO, PA",11.57464789,14.4
9,2013/8/11,"PUERTO CASADO, PA",11.57464789,15.9
10,2013/8/12,"PUERTO CASADO, PA",11.57464789,21.4
11,2013/8/13,"PUERTO CASADO, PA",11.57464789,21.1
12,2013/8/14,"PUERTO CASADO, PA",11.57464789,13.2
13,2013/8/15,"PUERTO CASADO, PA",11.57464789,11.5
14,2013/8/16,"PUERTO CASADO, PA",11.57464789,16.4
15,2013/8/17,"PUERTO CASADO, PA",11.57464789,19.2
16,2013/8/18,"PUERTO CASADO, PA",11.57464789,19.7
17,2013/8/19,"PUERTO CASADO, PA",11.57464789,23.6
18,2013/8/20,"PUERTO CASADO, PA",11.57464789,27.4
19,2013/8/21,"PUERTO CASADO, PA",11.57464789,29.8
20,2013/8/22,"PUERTO CASADO, PA",11.57464789,26.9
21,2013/8/23,"PUERTO CASADO, PA",11.57464789,20.2
22,2013/8/24,"PUERTO CASADO, PA",11.57464789,13
23,2013/8/25,"PUERTO CASADO, PA",11.57464789,9.8
24,2013/8/26,"PUERTO CASADO, PA",11.57464789,9.7
25,2013/8/27,"PUERTO CASADO, PA",11.57464789,9.9
26,2013/8/28,"PUERTO CASADO, PA",11.57464789,14.4
27,2013/8/29,"PUERTO CASADO, PA",11.57464789,18.2
28,2013/8/30,"PUERTO CASADO, PA",11.57464789,22.2
29,2013/8/31,"PUERTO CASADO, PA",11.57464789,29.6
30,2013/9/1,"PUERTO CASADO, PA",11.57464789,29.3
31,2013/9/2,"PUERTO CASADO, PA",22.4,27.6
