date,pm10,o3,no2,rain,temp
2013/12/31,27,17,7,13.4,25.8
2014/1/1,29,17,7,0,26.7
2014/1/2,29,12,10,0,27.4
2014/1/3,20,13,8,0,27.1
2014/1/4,17,8,6,0,27.1
2014/1/5,14,5,10,18.4,24.8
2014/1/6,26,13,9,31.2,25.3
2014/1/7,27,15,7,0,26.7
2014/1/8,17,6,8,0,27.1
2014/1/9,17,16,11,2,25.9
2014/1/10,17,14,6,0,26.8
2014/1/11,15,9,8,5.6,26.6
2014/1/12,20,16,7,18.2,26.2
2014/1/13,28,15,8,0,26.9
2014/1/14,29,20,8,0,26.5
2014/1/15,33,24,9,0,26
2014/1/16,30,22,8,0,26.2
2014/1/17,24,16,8,0,26
2014/1/18,23,18,6,0,26.1
2014/1/19,25,17,8,0,26
2014/1/20,25,19,9,0,25.7
2014/1/21,30,20,10,0,25.6
2014/1/22,34,28,9,0,25.5
2014/1/23,40,22,9,0,25.9
2014/1/24,38,24,6,0,25.8
2014/1/25,36,30,8,0,25.8
2014/1/26,32,20,6,0,25.6
2014/1/27,28,19,5,0,25.9
2014/1/28,24,18,5,0,26.5
2014/1/29,20,21,5,0,26.5
2014/1/30,21,22,4,0,25.8
2014/1/31,21,22,7,0,26.3
2014/2/1,19,21,9,0,25.9
2014/2/2,19,28,6,0,25.5
2014/2/3,22,45,7,0,26.1
2014/2/4,29,26,7,0,26.5
2014/2/5,24,19,8,0,26.2
2014/2/6,20,22,8,0,26.4
2014/2/7,29,27,9,0,26.5
2014/2/8,30,33,9,0.2,26.9
2014/2/9,29,32,9,0,27.5
2014/2/10,26,21,7,0,27.7
2014/2/11,24,17,6,0,27.6
2014/2/12,29,15,6,0,27.6
2014/2/13,29,18,6,0,27.9
2014/2/14,29,20,5,0,27.6
2014/2/15,32,22,5,0,27.8
2014/2/16,30,18,5,0,27.8
2014/2/17,32,18,6,0,27.8
2014/2/18,31,18,6,0,27.7
2014/2/19,23,17,5,0,27.6
2014/2/20,26,13,5,0,27.7
2014/2/21,28,19,5,0,27.7
2014/2/22,29,23,6,0,28
2014/2/23,30,26,6,0,27.4
2014/2/24,31,21,9,0,27.2
2014/2/25,31,20,6,0,27
2014/2/26,28,17,5,0,27.3
2014/2/27,29,18,5,0,27.8
2014/2/28,30,18,6,0,27.6
2014/3/1,27,26,5,0,27.7
2014/3/2,25,27,7,0,28
2014/3/3,35,30,8,0,27.6
2014/3/4,31,23,7,0,27.8
2014/3/5,27,22,6,0,27.6
2014/3/6,33,25,7,0,27.5
2014/3/7,41,28,7,0,27.6
2014/3/8,40,27,6,0,27.9
2014/3/9,36,24,6,0,27.6
2014/3/10,41,24,8,0,27.8
2014/3/11,59,23,6,0,28.2
2014/3/12,49,30,6,0,28.3
2014/3/13,54,24,6,0,28.3
2014/3/14,40,12,6,0,28.6
2014/3/15,24,6,7,0,28.6
2014/3/16,14,5,8,52.6,26
2014/3/17,18,10,9,5.4,26.3
2014/3/18,23,14,10,0.4,27.5
2014/3/19,29,12,15,0,27.5
2014/3/20,27,29,18,2,27.6
2014/3/21,32,32,14,5.2,27.7
2014/3/22,30,26,9,0,27.5
2014/3/23,25,23,8,0,27.9
2014/3/24,29,22,12,0,28.1
2014/3/25,30,21,11,0,28.5
2014/3/26,28,21,10,0,28.7
2014/3/27,39,21,12,0,29.1
2014/3/28,23,14,14,0,28.6
2014/3/29,25,27,16,0.4,28.6
2014/3/30,21,19,12,0,28.4
2014/3/31,24,27,15,0,28.8
2014/4/1,24,27,15,2,28.4
2014/4/2,20,16,10,0,28.8
2014/4/3,22,26,19,0,29.3
2014/4/4,28,9,17,0,28.6
2014/4/5,20,23,11,23.4,26.4
2014/4/6,19,27,12,0.2,28
2014/4/7,22,22,16,10,28.6
2014/4/8,26,32,19,6.6,27.6
2014/4/9,25,16,15,1.8,27.6
2014/4/10,25,28,21,0,28
2014/4/11,26,16,18,2.8,27.5
2014/4/12,24,37,13,8,26.8
2014/4/13,25,15,12,0,28.5
2014/4/14,29,17,22,0,28.4
2014/4/15,35,17,15,0,28.5
2014/4/16,33,19,22,0.2,28.7
2014/4/17,40,13,33,28.8,28.4
2014/4/18,24,16,20,0,28.2
2014/4/19,33,25,12,0,28.9
2014/4/20,20,7,37,0.2,28.2
2014/4/21,27,4,27,5.2,26.6
2014/4/22,28,9,32,0,27.9
2014/4/23,30,7,34,0,28.6
2014/4/24,21,15,21,2.2,28.7
2014/4/25,34,20,35,0,28.8
