,date,rainfall,temp
1,1999/1/1,6.8,25.2
2,1999/1/2,2.5,24.4
3,1999/1/3,0.7,25.4
4,1999/1/4,1.1,25.9
5,1999/1/5,11.3,25.8
6,1999/1/6,8.4,26.4
7,1999/1/7,0,26.5
8,1999/1/8,1.8,26.6
9,1999/1/9,18.9,26.2
10,1999/1/10,2.4,24.9
11,1999/1/11,0,26.9
12,1999/1/12,0,27.5
13,1999/1/13,0,27.8
14,1999/1/14,0,27.8
15,1999/1/15,0,27.5
16,1999/1/16,1,27.3
17,1999/1/17,17,26.9
18,1999/1/18,1.5,26.3
19,1999/1/19,4.8,26.7
20,1999/1/20,0.1,26.6
21,1999/1/21,0.1,27
22,1999/1/22,1,26.8
23,1999/1/23,14.2,26.4
24,1999/1/24,52.5,26.3
25,1999/1/25,0.2,25.7
26,1999/1/26,0,26.9
27,1999/1/27,0,27.4
28,1999/1/28,23.5,26.8
29,1999/1/29,24.1,26.8
30,1999/1/30,0,27.4
31,1999/1/31,0,28
32,1999/2/1,0,28
33,1999/2/2,20.4,27.2
34,1999/2/3,0.5,26.5
35,1999/2/4,0,26.8
36,1999/2/5,0,26.7
37,1999/2/6,0,26.5
38,1999/2/7,0,27.1
39,1999/2/8,0,26.9
40,1999/2/9,0,26.9
41,1999/2/10,1.7,27
42,1999/2/11,0.4,27.2
43,1999/2/12,32.1,26.9
44,1999/2/13,1.5,25.7
45,1999/2/14,6.4,26.8
46,1999/2/15,0,27.3
47,1999/2/16,0,27.7
48,1999/2/17,0,27.5
49,1999/2/18,0,27.1
50,1999/2/19,0,27.6
51,1999/2/20,0,27.4
52,1999/2/21,0,27.4
53,1999/2/22,0,27.5
54,1999/2/23,0.2,27.5
55,1999/2/24,0,27.6
56,1999/2/25,0,28.1
57,1999/2/26,0,28.2
58,1999/2/27,0,27.9
59,1999/2/28,4.2,27.2
60,1999/3/1,22.6,25.7
61,1999/3/2,0,25.2
62,1999/3/3,0,26.8
63,1999/3/4,0,26.3
64,1999/3/5,5.3,27.5
65,1999/3/6,0,27.3
66,1999/3/7,0,27.5
67,1999/3/8,11.3,26.8
68,1999/3/9,3.5,26.7
69,1999/3/10,3.6,26.9
70,1999/3/11,0,27.4
71,1999/3/12,6.3,26.6
72,1999/3/13,0,27.3
73,1999/3/14,0,28
74,1999/3/15,14,26.5
75,1999/3/16,6.9,27.3
76,1999/3/17,0,28.3
77,1999/3/18,8.8,28.3
78,1999/3/19,0,28.1
79,1999/3/20,0,28.4
80,1999/3/21,0,29.1
81,1999/3/22,0,27.8
82,1999/3/23,52.4,26.4
83,1999/3/24,0,26.9
84,1999/3/25,0.7,27.4
85,1999/3/26,9.6,26.5
86,1999/3/27,0,28.1
87,1999/3/28,5.2,26.7
88,1999/3/29,4.5,25.9
89,1999/3/30,3.3,26.5
90,1999/3/31,23.4,26.7
91,1999/4/1,29.2,25.7
92,1999/4/2,0,28.1
93,1999/4/3,1.7,27.1
94,1999/4/4,0.3,27.5
95,1999/4/5,10.4,27.4
96,1999/4/6,2.3,28.4
97,1999/4/7,2,27.1
98,1999/4/8,0,28.7
99,1999/4/9,0.3,28.1
100,1999/4/10,14.7,27.7
101,1999/4/11,0,29
102,1999/4/12,0,29.4
103,1999/4/13,0.1,28.5
104,1999/4/14,2.7,29.5
105,1999/4/15,0.5,27
106,1999/4/16,0.7,28.5
107,1999/4/17,4.5,27.6
108,1999/4/18,0,27.7
109,1999/4/19,0,28.4
110,1999/4/20,0.3,28.2
111,1999/4/21,0,27.6
112,1999/4/22,0,29.4
113,1999/4/23,0,29.4
114,1999/4/24,0,29.7
115,1999/4/25,0,29
116,1999/4/26,0,29.1
117,1999/4/27,0,28.8
118,1999/4/28,0,29.2
119,1999/4/29,0,28.4
120,1999/4/30,18.8,29
121,1999/5/1,1.4,28.4
122,1999/5/2,0,29.4
123,1999/5/3,0,29.3
124,1999/5/4,0,29.2
125,1999/5/5,0,28.2
126,1999/5/6,0,27.9
127,1999/5/7,42.8,27.6
128,1999/5/8,31.5,25.9
129,1999/5/9,0,27.6
130,1999/5/10,0.7,27.4
131,1999/5/11,0.5,26.8
132,1999/5/12,0,27.7
133,1999/5/13,0,28.7
134,1999/5/14,0,29.1
135,1999/5/15,36.5,27.7
136,1999/5/16,0.7,27.4
137,1999/5/17,7.2,28
138,1999/5/18,21.1,26.9
139,1999/5/19,0,28.2
140,1999/5/20,0,28
141,1999/5/21,3.9,26.6
142,1999/5/22,0,28
143,1999/5/23,8.1,26.9
144,1999/5/24,0.2,28
145,1999/5/25,2.5,27.9
146,1999/5/26,0,27.3
147,1999/5/27,0,28.7
148,1999/5/28,0,28.2
149,1999/5/29,0,29.1
150,1999/5/30,0,30
151,1999/5/31,0,29.5
152,1999/6/1,0,29.4
153,1999/6/2,0,29.2
154,1999/6/3,0,29.3
155,1999/6/4,3.4,28.6
156,1999/6/5,0,28.5
157,1999/6/6,0,28.9
158,1999/6/7,0,28.9
159,1999/6/8,2.1,28.8
160,1999/6/9,0.1,28.4
161,1999/6/10,0,28.8
162,1999/6/11,0.6,28.8
163,1999/6/12,21.6,26.6
164,1999/6/13,1,28
165,1999/6/14,2.7,26.6
166,1999/6/15,3,27.2
167,1999/6/16,0,27.6
168,1999/6/17,0,28.6
169,1999/6/18,0,29.7
170,1999/6/19,0,29.5
171,1999/6/20,5.9,29.1
172,1999/6/21,0,29.5
173,1999/6/22,0.8,29.2
174,1999/6/23,0,28.2
175,1999/6/24,0,28.4
176,1999/6/25,6.4,25.9
177,1999/6/26,34.5,27.7
178,1999/6/27,2.3,26.5
179,1999/6/28,0,27.5
180,1999/6/29,19,26.6
181,1999/6/30,0,26.7
182,1999/7/1,3.7,28.4
183,1999/7/2,0,27.3
184,1999/7/3,39.6,25.9
185,1999/7/4,0,27.1
186,1999/7/5,0,27.2
187,1999/7/6,23.2,26.4
188,1999/7/7,6.9,26.1
189,1999/7/8,0,27.4
190,1999/7/9,0,28.3
191,1999/7/10,51.4,26.6
192,1999/7/11,0,27
193,1999/7/12,0,28
194,1999/7/13,0,28.5
195,1999/7/14,39.1,26
196,1999/7/15,9.5,25.5
197,1999/7/16,0,26.4
198,1999/7/17,0,28
